areas,tier1,tier2,tier3,tier4,tier5,tier6,tier7,tier8,tier9,tier10,tier11,tier12,tier13,tier14,tier15,tier16,tier17,tier18,tier19,tier20
"math.AT,math.CT,math.KT","698,135,734,809,1278","572,57,359","1520,81,1493,958","592,835",,,,,,,,,,,,,,,,
"math.AG,math.AT,math.KT","135,1278,20,698,734,528","449,809,152","794,572,343","359,932,727,80,1387,1032,799","57,1520,958,443,90","845,688","292,729,925,1114,1141,81,116","835,587,592",,,,,,,,,,,,
